SE PSI DELTA
AOI	 75.7
SE 317.835	0.824471	0.32695
SE 318.118	0.83036		0.325789
SE 318.402	0.832901	0.331803
SE 318.686	0.842411	0.33139
SE 318.972	0.847857	0.331887
SE 319.258	0.853343	0.335125
SE 319.545	0.859613	0.336683
SE 319.833	0.864965	0.335684
SE 320.121	0.868845	0.335806
SE 320.411	0.878108	0.341052
SE 320.701	0.882031	0.338642
SE 320.992	0.888575	0.337541
SE 321.284	0.898816	0.339683
SE 321.577	0.904171	0.337012
SE 321.871	0.910248	0.337141
SE 322.166	0.919317	0.336184
SE 322.461	0.926153	0.33832
SE 322.757	0.935739	0.336498
SE 323.055	0.946262	0.334788
SE 323.353	0.952792	0.330142
SE 323.652	0.964075	0.328883
SE 323.952	0.97133		0.327251
SE 324.253	0.980973	0.325216
SE 324.554	0.996074	0.318953
SE 324.857	1.00305		0.315018
SE 325.16	1.01891		0.311646
SE 325.465	1.03223		0.309548
SE 325.77	1.04114		0.303954
SE 326.077	1.05596		0.29824
SE 326.384	1.06453		0.294027
SE 326.692	1.08329		0.28511
SE 327.001	1.09543		0.279357
SE 327.311	1.11424		0.272889
SE 327.622	1.12954		0.267546
SE 327.934	1.14714		0.258834
SE 328.247	1.16575		0.249452
SE 328.561	1.18966		0.243777
SE 328.876	1.20926		0.231206
SE 329.191	1.23023		0.224008
SE 329.508	1.25907		0.212468
SE 329.826	1.28533		0.20065
SE 330.145	1.31119		0.189482
SE 330.464	1.33764		0.175985
SE 330.785	1.37364		0.167984
SE 331.107	1.41224		0.151717
SE 331.43	1.44394		0.136534
SE 331.754	1.49408		0.124194
SE 332.078	1.53292		0.105698
SE 332.404	1.58311		0.0917699
SE 332.731	1.63154		0.0732315
SE 333.059	1.69829		0.0537381
SE 333.388	1.7662		0.0289083
SE 333.718	1.81905		0.0117938
SE 334.049	1.91913		-0.0119684
SE 334.381	1.98035		-0.0361227
SE 334.714	2.07965		-0.0606008
SE 335.049	2.22263		-0.0933883
SE 335.384	2.32614		-0.121981
SE 335.72	2.45381		-0.155112
SE 336.058	2.65437		-0.192182
SE 336.396	2.79905		-0.223697
SE 336.736	3.02921		-0.27988
SE 337.077	3.35071		-0.323585
SE 337.419	3.70033		-0.386334
SE 337.762	3.89557		-0.426566
SE 338.106	4.40739		-0.505145
SE 338.451	4.86779		-0.581698
SE 338.798	5.73147		-0.695545
SE 339.146	6.33561		-0.789238
SE 339.494	6.93874		-0.883056
SE 339.844	8.16856		-0.9999
SE 340.195	8.85308		-0.9999
SE 340.547	7.77068		-0.94637
SE 340.901	7.1502		-0.861951
SE 341.255	6.83113		-0.780091
SE 341.611	6.04905		-0.674051
SE 341.968	5.46753		-0.570289
SE 342.326	4.8078		-0.454611
SE 342.686	4.32157		-0.382507
SE 343.046	3.89972		-0.3115
SE 343.408	3.54059		-0.250067
SE 343.771	3.2398		-0.18953
SE 344.136	2.9667		-0.144072
SE 344.501	2.79444		-0.100945
SE 344.868	2.59472		-0.0596728
SE 345.236	2.41771		-0.0262262
SE 345.606	2.30154		0.00667067
SE 345.976	2.18378		0.0371169
SE 346.348	2.08086		0.066352
SE 346.721	1.97314		0.0939202
SE 347.096	1.89004		0.120201
SE 347.472	1.80456		0.140289
SE 347.849	1.73436		0.161815
SE 348.227	1.67203		0.182373
SE 348.607	1.61136		0.201935
SE 348.988	1.56228		0.220417
SE 349.371	1.51492		0.235164
SE 349.754	1.46742		0.250859
SE 350.14	1.42846		0.265868
SE 350.526	1.38427		0.280012
SE 350.914	1.35067		0.292527
SE 351.303	1.3196		0.306071
SE 351.694	1.2934		0.318419
SE 352.086	1.2646		0.331695
SE 352.48	1.24023		0.341249
SE 352.875	1.21585		0.351164
SE 353.271	1.19231		0.360349
SE 353.669	1.17103		0.368459
SE 354.068	1.1526		0.378484
SE 354.469	1.13177		0.38747
SE 354.871	1.11767		0.393562
SE 355.275	1.09844		0.398596
SE 355.68	1.08441		0.406625
SE 356.086	1.06949		0.412981
SE 356.495	1.05646		0.418285
SE 356.904	1.04268		0.424581
SE 357.315	1.02962		0.427764
SE 357.728	1.01706		0.433007
SE 358.142	1.00612		0.436085
SE 358.558	0.994281	0.440022
SE 358.975	0.984835	0.442054
SE 359.394	0.974032	0.445243
SE 359.815	0.964394	0.446784
SE 360.237	0.955494	0.450676
SE 360.661	0.947916	0.450689
SE 361.086	0.937999	0.451576
SE 361.513	0.93004		0.452108
SE 361.941	0.921666	0.45272
SE 362.372	0.914024	0.452596
SE 362.803	0.907999	0.454
SE 363.237	0.899989	0.451516
SE 363.672	0.891802	0.451671
SE 364.109	0.884292	0.451667
SE 364.547	0.878848	0.448536
SE 364.988	0.871547	0.446849
SE 365.43	0.865543	0.445944
SE 365.873	0.857145	0.44369
SE 366.319	0.850212	0.43953
SE 366.766	0.84396		0.435998
SE 367.215	0.837298	0.434143
SE 367.666	0.830937	0.431192
SE 368.118	0.823021	0.426524
SE 368.573	0.817052	0.422913
SE 369.029	0.810242	0.416864
SE 369.487	0.802921	0.41283
SE 369.947	0.796412	0.409341
SE 370.408	0.789789	0.401292
SE 370.872	0.784443	0.396103
SE 371.337	0.777013	0.390165
SE 371.804	0.770352	0.384916
SE 372.273	0.763527	0.378952
SE 372.745	0.756647	0.370814
SE 373.218	0.748903	0.367195
SE 373.693	0.742028	0.359023
SE 374.169	0.735077	0.352585
SE 374.648	0.727626	0.34486
SE 375.129	0.720559	0.337999
SE 375.612	0.712654	0.328661
SE 376.097	0.70578		0.321561
SE 376.584	0.69801		0.314088
SE 377.073	0.690895	0.306489
SE 377.564	0.682386	0.29737
SE 378.057	0.675139	0.289565
SE 378.552	0.66743		0.279517
SE 379.049	0.659169	0.270927
SE 379.548	0.65155		0.26176
SE 380.05	0.644852	0.252881
SE 380.553	0.636498	0.242862
SE 381.059	0.628625	0.23197
SE 381.567	0.621219	0.222636
SE 382.077	0.61277		0.212979
SE 382.589	0.604503	0.202603
SE 383.104	0.597234	0.19037
SE 383.621	0.588999	0.180356
SE 384.14	0.581227	0.169151
SE 384.661	0.572174	0.156972
SE 385.184	0.56364		0.145491
SE 385.71	0.555973	0.133582
SE 386.238	0.547033	0.121505
SE 386.769	0.538182	0.107651
SE 387.302	0.529576	0.0942582
SE 387.837	0.520675	0.0829336
SE 388.375	0.511528	0.0682921
SE 388.915	0.503227	0.0539115
SE 389.457	0.494148	0.0388815
SE 390.002	0.484375	0.0254698
SE 390.55	0.476054	0.00980256
SE 391.099	0.467134	-0.00463707
SE 391.652	0.458086	-0.0212542
SE 392.207	0.448644	-0.0375662
SE 392.764	0.439539	-0.0559922
SE 393.324	0.430568	-0.0714471
SE 393.887	0.42127		-0.0899555
SE 394.452	0.411713	-0.10808
SE 395.02	0.402552	-0.12518
SE 395.59	0.393053	-0.145773
SE 396.163	0.383632	-0.162604
SE 396.739	0.373835	-0.184958
SE 397.318	0.364814	-0.206058
SE 397.899	0.355517	-0.225075
SE 398.483	0.345783	-0.249676
SE 399.07	0.336496	-0.271392
SE 399.659	0.327528	-0.295169
SE 400.251	0.318106	-0.319678
SE 400.847	0.308195	-0.342816
SE 401.445	0.298423	-0.372039
SE 402.046	0.289143	-0.40023
SE 402.65	0.279423	-0.427783
SE 403.256	0.270424	-0.453417
SE 403.866	0.260883	-0.483693
SE 404.479	0.252778	-0.514182
SE 405.094	0.243962	-0.544494
SE 405.713	0.234593	-0.578772
SE 406.335	0.226187	-0.613353
SE 406.96	0.217551	-0.643869
SE 407.588	0.208802	-0.682138
SE 408.219	0.201036	-0.718688
SE 408.853	0.193581	-0.75293
SE 409.491	0.186278	-0.787537
SE 410.131	0.180041	-0.821788
SE 410.775	0.174111	-0.855058
SE 411.423	0.167421	-0.892162
SE 412.073	0.161501	-0.923083
SE 412.727	0.15693		-0.950323
SE 413.384	0.153527	-0.967863
SE 414.045	0.149754	-0.98806
SE 414.709	0.147488	-0.996536
SE 415.376	0.145575	-0.9999
SE 416.047	0.143882	-0.9999
SE 416.721	0.145443	-0.981264
SE 417.399	0.145598	-0.966461
SE 418.081	0.148226	-0.932064
SE 418.766	0.150527	-0.900897
SE 419.455	0.153829	-0.862605
SE 420.147	0.158087	-0.820884
SE 420.843	0.162301	-0.776155
SE 421.543	0.167619	-0.731345
SE 422.246	0.173757	-0.68611
SE 422.954	0.179813	-0.638462
SE 423.665	0.18585		-0.593263
SE 424.38	0.194088	-0.545614
SE 425.099	0.201167	-0.501404
SE 425.822	0.208022	-0.462679
SE 426.549	0.216496	-0.418373
SE 427.28	0.224142	-0.381752
SE 428.015	0.232567	-0.345137
SE 428.754	0.240997	-0.305734
SE 429.497	0.249245	-0.272473
SE 430.244	0.25774		-0.241412
SE 430.996	0.265946	-0.21013
SE 431.752	0.274826	-0.180813
SE 432.512	0.28363		-0.152945
SE 433.276	0.292045	-0.124424
SE 434.045	0.30067		-0.096966
SE 434.818	0.309496	-0.0732761
SE 435.596	0.318209	-0.0488119
SE 436.378	0.326951	-0.0257976
SE 437.165	0.33568		-0.00316703
SE 437.956	0.34364		0.018425
SE 438.752	0.352527	0.038377
SE 439.552	0.361607	0.0590435
SE 440.358	0.369835	0.0789401
SE 441.168	0.377989	0.0962743
SE 441.983	0.387613	0.113933
SE 442.803	0.395104	0.131363
SE 443.627	0.40411		0.148543
SE 444.457	0.411933	0.163806
SE 445.292	0.420653	0.179974
SE 446.131	0.428883	0.196395
SE 446.976	0.436773	0.210345
SE 447.826	0.44494		0.22446
SE 448.682	0.453259	0.23802
SE 449.542	0.461322	0.251181
SE 450.408	0.469128	0.263829
SE 451.28	0.477068	0.276945
SE 452.156	0.485233	0.289274
SE 453.039	0.493087	0.300663
SE 453.927	0.501156	0.311239
SE 454.82	0.508744	0.323368
SE 455.719	0.516972	0.333282
SE 456.624	0.524431	0.343889
SE 457.535	0.53183		0.353144
SE 458.452	0.539959	0.363561
SE 459.374	0.547348	0.373004
SE 460.303	0.555168	0.381723
SE 461.237	0.56328		0.391017
SE 462.178	0.57035		0.398993
SE 463.125	0.578236	0.406992
SE 464.079	0.585288	0.414523
SE 465.038	0.592879	0.422161
SE 466.004	0.601003	0.429217
SE 466.977	0.608612	0.435754
SE 467.956	0.616468	0.443063
SE 468.942	0.623998	0.44869
SE 469.934	0.631782	0.455863
SE 470.934	0.640326	0.462177
SE 471.94	0.648532	0.467538
SE 472.953	0.657044	0.474135
SE 473.973	0.664414	0.480238
SE 475.001	0.672848	0.485605
SE 476.035	0.681979	0.48922
SE 477.077	0.690847	0.494391
SE 478.126	0.699677	0.499878
SE 479.183	0.707863	0.501968
SE 480.247	0.716373	0.506579
SE 481.319	0.725527	0.510607
SE 482.399	0.734975	0.514286
SE 483.486	0.744954	0.517297
SE 484.582	0.754607	0.519349
SE 485.685	0.765208	0.523687
SE 486.797	0.775846	0.525272
SE 487.917	0.786486	0.528544
SE 489.045	0.797016	0.53071
SE 490.182	0.809713	0.533204
SE 491.327	0.820919	0.53442
SE 492.481	0.834096	0.536379
SE 493.643	0.847013	0.538319
SE 494.815	0.861073	0.540456
SE 495.995	0.875192	0.540359
SE 497.185	0.889919	0.541622
SE 498.384	0.906111	0.541535
SE 499.592	0.924478	0.543392
SE 500.81	0.942158	0.544067
SE 502.037	0.961398	0.545229
SE 503.274	0.979386	0.544471
SE 504.521	1.00138		0.54571
SE 505.778	1.02508		0.545312
SE 507.046	1.05041		0.543937
SE 508.323	1.07721		0.546513
SE 509.611	1.10572		0.547011
SE 510.909	1.13606		0.546634
SE 512.219	1.17105		0.548735
SE 513.539	1.2056		0.548951
SE 514.87	1.2478		0.551444
SE 516.212	1.29154		0.553087
SE 517.566	1.34008		0.55569
SE 518.931	1.39268		0.5595
SE 520.307	1.45177		0.563988
SE 521.696	1.51626		0.569015
SE 523.097	1.59208		0.576472
SE 524.51	1.67504		0.584093
SE 525.935	1.76743		0.595875
SE 527.372	1.86619		0.609321
SE 528.823	1.99009		0.627856
SE 530.286	2.12565		0.646676
SE 531.763	2.27859		0.674431
SE 533.253	2.45116		0.704766
SE 534.756	2.62666		0.733982
SE 536.273	2.83413		0.775324
SE 537.804	3.07346		0.82177
SE 539.35	3.28797		0.865133
SE 540.909	3.51867		0.91453
SE 542.484	3.7376		0.966167
SE 544.073	3.83398		0.986007
SE 545.677	3.87765		0.997937
