"Wavelength (nm)"; "Reflectance"
1000,5; 0,221922
1001; 0,220413
1001,5; 0,218817
1002; 0,217197
1002,5; 0,215583
1003; 0,213889
1003,5; 0,212096
1004; 0,210335
1004,5; 0,208667
1005; 0,207001
1005,5; 0,205267
1006; 0,203445
1006,5; 0,201578
1007; 0,199745
1007,5; 0,197925
1008; 0,196078
1008,5; 0,194199
1009; 0,192343
1009,5; 0,190576
1010; 0,188884
1010,5; 0,18719
1011; 0,185456
1011,5; 0,183704
1012; 0,181883
1012,5; 0,179909
1013; 0,178056
1013,5; 0,176258
1014; 0,174311
1014,5; 0,172289
1015; 0,170206
1015,5; 0,168171
1016; 0,166273
1016,5; 0,164331
1017; 0,162544
1017,5; 0,160879
1018; 0,159002
1018,5; 0,157125
1019; 0,155325
1019,5; 0,153587
1020; 0,151915
1020,5; 0,150085
1021; 0,148175
1021,5; 0,146349
1022; 0,144418
1022,5; 0,142386
1023; 0,140369
1023,5; 0,138439
1024; 0,136495
1024,5; 0,134497
1025; 0,132501
1025,5; 0,130586
1026; 0,128713
1026,5; 0,126925
1027; 0,125196
1027,5; 0,123368
1028; 0,121567
1028,5; 0,119778
1029; 0,117948
1029,5; 0,116234
1030; 0,114477
1030,5; 0,112622
1031; 0,110746
1031,5; 0,108705
1032; 0,106654
1032,5; 0,104749
1033; 0,102947
1033,5; 0,101214
1034; 0,099493
1034,5; 0,097801
1035; 0,09624
1035,5; 0,094641
1036; 0,092994
1036,5; 0,091417
1037; 0,08992
1037,5; 0,088535
1038; 0,087147
1038,5; 0,085614
1039; 0,084066
1039,5; 0,082481
1040; 0,080773
1040,5; 0,078929
1041; 0,077056
1041,5; 0,075351
1042; 0,073816
1042,5; 0,07215
1043; 0,070328
1043,5; 0,06853
1044; 0,066901
1044,5; 0,065335
1045; 0,063654
1045,5; 0,061899
1046; 0,060296
1046,5; 0,058928
1047; 0,0575
1047,5; 0,055891
1048; 0,054325
1048,5; 0,052946
1049; 0,051665
1049,5; 0,050445
1050; 0,04939
