"Wavelength (nm)"	"Reflectance"
790,5	0,232443
791	0,231069
791,5	0,229644
792	0,228157
792,5	0,226656
793	0,225178
793,5	0,223756
794	0,222393
794,5	0,221013
795	0,219595
795,5	0,218173
796	0,216791
796,5	0,215404
797	0,214003
797,5	0,21264
798	0,21127
798,5	0,209865
799	0,208432
799,5	0,206972
800	0,205522
800,5	0,204079
801	0,202584
801,5	0,201118
802	0,199684
802,5	0,198217
803	0,196778
803,5	0,195349
804	0,193892
804,5	0,192437
805	0,190997
805,5	0,189573
806	0,188155
806,5	0,186724
807	0,185278
807,5	0,183829
808	0,182393
808,5	0,180943
809	0,179484
809,5	0,178069
810	0,176652
810,5	0,175223
811	0,173814
811,5	0,172421
812	0,171026
812,5	0,16963
813	0,16826
813,5	0,166903
814	0,165532
814,5	0,164132
815	0,162737
815,5	0,161365
816	0,160006
816,5	0,158642
817	0,157293
817,5	0,155965
818	0,154628
818,5	0,153262
819	0,151902
819,5	0,15059
820	0,149296
820,5	0,147996
821	0,146702
821,5	0,145447
822	0,144192
822,5	0,142913
823	0,14162
823,5	0,140344
824	0,139057
824,5	0,13773
825	0,136398
825,5	0,135101
826	0,133846
826,5	0,132607
827	0,131359
827,5	0,130114
828	0,128872
828,5	0,127594
829	0,126297
829,5	0,125037
830	0,123854
830,5	0,122696
831	0,121543
831,5	0,120404
832	0,119286
832,5	0,118165
833	0,117025
833,5	0,115882
834	0,114749
834,5	0,113671
835	0,112657
835,5	0,111614
836	0,110554
836,5	0,109502
837	0,108436
837,5	0,10736
838	0,106289
838,5	0,105249
839	0,104271
839,5	0,103327
840	0,102394
840,5	0,101489
841	0,100575
841,5	0,099646
842	0,098729
842,5	0,097816
843	0,096933
843,5	0,096084
844	0,095229
844,5	0,094382
845	0,093544
845,5	0,092704
846	0,091895
846,5	0,091056
847	0,090183
847,5	0,089417
848	0,088666
848,5	0,087906
849	0,087197
849,5	0,086449
850	0,0857
850,5	0,085006
851	0,084299
851,5	0,083598
852	0,082932
852,5	0,082312
853	0,081756
853,5	0,081188
854	0,080559
854,5	0,07996
855	0,079359
855,5	0,078766
856	0,078247
856,5	0,07774
857	0,077257
857,5	0,076809
858	0,076303
858,5	0,075804
859	0,075348
859,5	0,074888
860	0,074467
860,5	0,074051
861	0,073615
861,5	0,073247
862	0,072894
862,5	0,072542
863	0,072233
863,5	0,071843
864	0,071449
864,5	0,071168
865	0,070905
865,5	0,070651
866	0,0704
866,5	0,070145
867	0,070009
867,5	0,069895
868	0,069685
868,5	0,069534
869	0,069398
869,5	0,069286
870	0,069295
870,5	0,069243
871	0,069165
871,5	0,069155
872	0,069088
872,5	0,06903
873	0,069018
873,5	0,068988
874	0,068975
874,5	0,068962
875	0,068924
875,5	0,068919
876	0,068925
876,5	0,068965
877	0,069076
877,5	0,069082
878	0,069095
878,5	0,069261
879	0,069414
879,5	0,069571
880	0,06976
880,5	0,069942
881	0,070122
881,5	0,07033
882	0,070574
882,5	0,070812
883	0,071007
883,5	0,071223
884	0,071542
884,5	0,071823
885	0,072085
885,5	0,072389
886	0,072678
886,5	0,072982
887	0,073318
887,5	0,073665
888	0,074024
888,5	0,07441
889	0,074829
889,5	0,075269
890	0,075721
890,5	0,076185
891	0,07666
891,5	0,077123
892	0,077601
892,5	0,078094
893	0,078558
893,5	0,079093
894	0,079677
894,5	0,080196
895	0,080669
895,5	0,081161
896	0,081699
896,5	0,082236
897	0,082734
897,5	0,083221
898	0,083735
898,5	0,084233
899	0,084774
899,5	0,085372
900	0,085941
900,5	0,086522
901	0,087144
901,5	0,087793
902	0,088454
902,5	0,089114
903	0,089783
903,5	0,090477
904	0,091176
904,5	0,091898
905	0,092662
905,5	0,093443
906	0,094218
906,5	0,094973
907	0,095701
907,5	0,096393
908	0,097094
908,5	0,097837
909	0,098596
909,5	0,099363
910	0,100141
910,5	0,100933
911	0,101731
911,5	0,102534
912	0,103333
912,5	0,104108
913	0,104881
913,5	0,105684
914	0,106537
914,5	0,107428
915	0,1083
915,5	0,10913
916	0,109957
916,5	0,110787
917	0,111617
917,5	0,112449
918	0,113306
918,5	0,114176
919	0,115052
919,5	0,115942
920	0,116844
920,5	0,117748
921	0,118643
921,5	0,119529
922	0,120429
922,5	0,121348
923	0,122268
923,5	0,123198
924	0,124149
924,5	0,125105
925	0,126036
925,5	0,12695
926	0,127866
926,5	0,128792
927	0,129719
927,5	0,130637
928	0,13155
928,5	0,132475
929	0,13341
929,5	0,134349
930	0,135292
930,5	0,136248
931	0,137203
931,5	0,138159
932	0,139128
932,5	0,140117
933	0,141126
933,5	0,142138
934	0,143125
934,5	0,144086
935	0,145026
935,5	0,145969
936	0,146957
936,5	0,147919
937	0,148832
937,5	0,149766
938	0,150675
938,5	0,151585
939	0,152554
939,5	0,15355
940	0,15457
940,5	0,155527
941	0,15635
941,5	0,157267
942	0,158306
942,5	0,159358
943	0,160354
943,5	0,161305
944	0,162289
944,5	0,163346
945	0,164359
945,5	0,165351
946	0,166353
946,5	0,167329
947	0,168282
947,5	0,169239
948	0,170236
948,5	0,171302
949	0,17238
949,5	0,173371
950	0,174254
950,5	0,17521
951	0,176217
951,5	0,177195
952	0,178162
952,5	0,179141
953	0,18015
953,5	0,181137
954	0,181969
954,5	0,182834
955	0,183783
955,5	0,184668
956	0,185608
956,5	0,186505
957	0,187317
957,5	0,188264
958	0,189187
958,5	0,190026
959	0,190892
959,5	0,191834
960	0,192783
960,5	0,193684
961	0,194585
961,5	0,195601
962	0,196618
962,5	0,197475
963	0,198235
963,5	0,199111
964	0,200108
964,5	0,201066
965	0,202005
965,5	0,202977
966	0,20398
966,5	0,204952
967	0,205892
967,5	0,206818
968	0,207735
968,5	0,208625
969	0,209511
969,5	0,210409
970	0,21135
970,5	0,212431
971	0,213476
971,5	0,214363
972	0,215233
972,5	0,216146
973	0,217083
973,5	0,217985
974	0,218809
974,5	0,21958
975	0,220341
975,5	0,221126
976	0,221964
976,5	0,222794
977	0,223579
977,5	0,224361
978	0,22509
978,5	0,225795
979	0,226562
979,5	0,227419
980	0,228328
980,5	0,229189
981	0,229954
981,5	0,230814
982	0,231749
982,5	0,232656
983	0,233524
983,5	0,234367
984	0,235224
984,5	0,236109
985	0,236955
985,5	0,237789
986	0,23864
986,5	0,239499
987	0,24037
987,5	0,241167
988	0,241859
988,5	0,242528
989	0,243162
989,5	0,243811
990	0,244533
990,5	0,245275
991	0,246006
991,5	0,246693
992	0,247316
992,5	0,247905
993	0,248499
993,5	0,249095
994	0,24967
994,5	0,250283
995	0,250958
